Itens,Valor,qtd
teste1,0,False
teste2,0,False
Martelo de Conexao Divino,85000000,True
Lapis Triplo Sabio-,0,False
Lapis de Absorgao Ly?,0,False
Protetor Imperial do Sabio-,10000000,False
Recreation GM: INT,2000000000,False
Lapis Rosers:,0,False
Lapis Fortuna Lv6_,0,False
Runa de Recriagao (STR),6000000,True
Lv2 Interser Lapis,0,False
Runa de Ressurreigao 6h,20000000,True
Guarda Inundante,0,False
Lapis da Fortuna Duplo Lv5-,0,False
Emblemas de Guilda-,0,False
Lapis de Absorgao Lyd,0,False
Elmo Luminoso Matador,0,False
Lapis de Absorgao Lv6-,0,False
Malha Luminosa Matador,0,False
Perneira Luminosa Matador,0,False
Bracal Luminosa Matador,0,False
Bota Luminosa Profana,0,False
GM Link (NT),1300000000,True
Queijo Eteo:,0,False
Pd Alquimia Terrestre,21000,True
Frasco de Esséncia Celestial,0,False
Capa da Prosperidade,0,False
Kit de atiracor,0,False
Bau do Conjurador Arcano,0,False
Amuleto Natalino |,750000000,False
Calga Luminosa Imperial,0,False
Olho Degenerado,0,False
Manopla de Autoridade Bril.,0,False
Lapis Mistico Duplo Ly5-,0,False
Lapis da Vida Ly?,0,False
Lapis Seguro Ly?,0,False
Remedio da Inteligencia Lv1,0,False
Pedra de EXP 10x (1h),150000000,True
Caixa de Lapisia para Armadura 2 (Nv 11 aN,40000000,True
Langa do Destino,0,False
Avambracgo de Yinganga Bril.,0,False
Caixa de Lapisia para Armadura 3 (Nv 16 ah,100000000,True
Remedio Energetico Ly3_,0,False
Malha Luminosa Corrupta de Fogo:,2000000000,False
,0,False
Runa de Ressurreigao do Amigo.,3000000,True
Legadoa Intinito:,150000000,False
Grande Forma:,500000000,False
Pedra de EXP 5x (1h),10000000,False
Atrocidade Infinita,10000000,False
Elmo Luminoso Supremo,10000000,False
Lapis Veloz Lv1,0,False
Recreagao GM Token,4000000000,False
Token de Arma Elemental Epica:,15000000000,True
Token dé Recreagao Maxima,1000000000,False
Token dé Impulso de Recreagao,1000000000,False
Lamina de Forma Intinita,0,False
Elmo Luminoso Suprema,10000000,False
Manopla Luminosa Suprema,100000000,False
Uivo Lupino do Intinito:,300000000,False
Furia Intinita,10000000,False
Loucura Infinita |,10000000,False
Dangarina Fantasma Intinita:,150000000,False
Luar Intinito:,150000000,False
Dedos Ageis Infinitos,10000000,False
Confissao Infinita:,10000000,False
Sabio Infinito.,10000000,False
Vento do Oeste Infinito,10000000,False
Ultimo Sussurro Infinito.,10000000,False
Ambicao Infinita:,150000000,False
Tufao Infinito:,10000000,False
Ambigao,500000000,False
Typhoon,700000000,False
Ultimo Suspiro:,800000000,False
Vento do Oeste,800000000,False
Legado Antigo,400000000,False
Sabedoria Ancestral,500000000,False
Contissao°,400000000,False
Dedo Agil,400000000,False
Espada Curta Leve Herdico:,2000000000,False
Garra Ferro Herdico:,10000000,False
Sombra Lunar,400000000,False
Ira Incandescente,10000000,False
Lamina As Herdico:,10000000,False
Dancgarina Fantasma,10000000,False
Garra Ferro Heroico:,10000000,False
Lamina As Heroico:,10000000,False
sombra Lunar,10000000,False
Ambi¢ao Infinite:,0,False
False,0,False
Bota Luminosa Rancor,0,False
Buraco Negro do Infinite”,100000000,False
Sede de Sangue,200000000,False
Espada do Intinito’,400000000,False
Medo Brutal,500000000,False
Explosao Esmagadora,200000000,False
Lamina Perolada,200000000,False
Machado de Prata Duplo Her.,10000000,False
Lagrima do Lobo,700000000,False
Visao do Horror:,700000000,False
Justiga é Julgamento,10000000,False
Martelo de Cristal,200000000,False
Remarty,10000000,False
Escuridao do Yazio-,100000000,False
Clava de Espinhos Herdica,10000000,False
Passaro Negro Herdico:,10000000,False
Colar Natalino |,10000000,False
Anel Natalino-,750000000,False
Bracelete Natalino |,750000000,False
Bracelete do Sol Ardente,10000000,False
Hoplon Herdico,10000000,False
Escudo Herdico:,10000000,False
Snowboard Natalino-,10000000,False
Asa Negra,10000000,False
Rena do Papai Noel,10000000,False
Pedra Invoca Cavalo Negro:,10000000,False
Pedra Invoca Dragao de Dua.,10000000,False
Pedra Invoca Tigre Branco:,10000000,False
Pedra Invoca Unicornio Arm.,10000000,False
Pedra Invoca Cavalo Armada,10000000,False
Cortador ‘ivido Infinito,0,False
Runa de Recriagao (INT),5000000,True
Sede Infinita,10000000,False
Colar de Prata:,0,False
Chumbo Oxido Herdico:,0,False
Calgado Adamas Deusa,10000000,False
Lamina de Forma Infinita,10000000,False
Armadura Imperial Espinhosa-,10000000,False
Mudanca de faccao de item,100000000,False
